Code,title,Fully Specified Name,Description,Inclusions,Exclusions
2A83,Plasma cell neoplasms,,"Plasma cell neoplasms are a group of disorders characterized by the monoclonal expansion of terminally differentiated B cells (plasma cells) that produce monoclonal immunoglobulins, known as M proteins or paraproteins. Key types include plasma cell myeloma (multiple myeloma), plasmacytoma, and neoplasms associated with paraneoplastic syndromes like POEMS syndrome.",,
2A83.0,Monoclonal gammopathy of undetermined significance,,,,
2A83.1,Plasma cell myeloma,,"A bone marrow-based plasma cell neoplasm usually characterised by presence of a serum monoclonal protein and/or urinary light chains. ”CRAB” criteria (calcium elevation (hypercalcaemia), renal failure, anaemia and bone lesions) separate symptomatic plasma cell myeloma from asymptomatic (smoldering) myeloma.",Kahler disease; Medullary plasmacytoma; Myelomatosis; multiple myeloma,Solitary plasmacytoma
2A83.2,Solitary plasmacytoma,,A single focus of clonal (malignant) plasma cells either in the bone or in another anatomic site without peripheral blood involvement.,solitary myeloma,
2A83.3,Extraosseous plasmacytoma,,,,
2A83.4,Plasma cell leukaemia,,An aggressive plasma cell neoplasm. It is characterised by the presence of neoplastic plasma cells in the peripheral blood (PB). The neoplastic plasma cells comprise more than 20% of the white cells in the PB or the number of clonal plasma cells in the PB exceeds 2x10⁹/L.,,
2A83.5,Monoclonal immunoglobulin deposition disease,,,,
2A83.50,Heavy chain deposition disease,,"A disease of the kidney, caused by proliferation and deposition of pieces of truncated or abnormal alpha, gamma, delta, or mu immunoglobulin heavy chain segments of white blood cells. This disease is characterised by fibrillar or granular tissue deposits and renal dysfunction, which may lead to organ failure. Confirmation is by identifying heavy chain deposition tissue biopsy using immunofluorescence under a microscope.",,Heavy chain diseases or malignant immunoproliferative diseases; Immunoglobulin heavy chain deficiency
2A83.51,Light and heavy chain deposition disease,,"A disease of the kidney, caused by proliferation and deposition of pieces of truncated or abnormal light and heavy chain segments of white blood cells. This disease is characterised by fibrillar or granular tissue deposits and renal dysfunction, which may lead to organ failure. Confirmation is by identification of light and heavy chain deposition tissue biopsy under a microscope.",,
2A83.52,Light chain deposition disease,,"A disease of the kidney, caused by the deposition of pieces of truncated or abnormal light chain segments of white blood cells. This disease is characterised by fibrillar or granular tissue deposits and renal dysfunction, which may lead to organ failure. Confirmation is by identification of light chain deposition tissue biopsy under an electron microscope.",,Immunodeficiencies with isotype or light chain deficiencies with normal number of B cells
2A84,Heavy chain diseases or malignant immunoproliferative diseases,,A group of rare disorders of immunoglobulin synthesis associated with B-cell proliferative disorders that produce monoclonal heavy chains and typically no light chains.,,
2A84.0,Alpha heavy chain disease,,The small intestinal morphologic changes are consistent with a mucosa-associated lymphoid tissue lymphoma (MALT lymphoma).,,
2A84.1,Gamma heavy chain disease,,"A clonal disorder characterised by the secretion of a truncated gamma chain. In most cases, it is associated with morphologic changes also seen in lymphoplasmacytic lymphomas, but the clinical course is typically more aggressive than in lymphoplasmacytic lymphoma/Waldenstrom's macroglobulinemia.",Franklin disease,
2A84.2,Mu heavy chain disease,,,,
2A85,Other specified mature B-cell neoplasms or lymphoma,,,,
2A85.0,Nodal marginal zone lymphoma,,"A primary nodal B-cell non-Hodgkin lymphoma which morphologically resembles lymph nodes involved by marginal zone lymphomas of extranodal or splenic types, but without evidence of extranodal or splenic disease. This is a rare entity, and most patients present with localised or generalised lymphadenopathy. The clinical course is indolent.",,
2A85.1,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue of stomach,,"A low grade, indolent B-cell lymphoma, usually associated with Helicobacter pylori infection. Morphologically it is characterised by a dense mucosal atypical lymphocytic (centrocyte-like cell) infiltrate with often prominent lymphoepithelial lesions and plasmacytic differentiation. Some of gastric MALT lymphomas carry the t(11;18)(q21;q21). Such cases are resistant to Helicobacter pylori therapy.",,
2A85.2,"Extranodal marginal zone B-cell lymphoma, primary site skin",,"A low-grade, extranodal marginal zone B-cell lymphoma of the mucosa-associated lymphoid tissue that arises from the skin. It usually presents with multifocal papular or nodular lesions in the arms or trunk. It rarely disseminates to internal organs or progresses to high grade lymphoma.",,
2A85.3,"Extranodal marginal zone B-cell lymphoma, primary site excluding stomach or skin",,,,
2A85.4,Lymphoplasmacytic lymphoma,,"Neoplasm of small B lymphocytes and plasma cells, mostly residing in the bone marrow. Frequently associated with the production of an IgM serum monoclonal protein, then called Waldenström macroglobulinemia (WM).",Waldenström macroglobulinaemia; Waldenström macroglobulinaemia without mention of remission; primary macroglobulinaemia,Chronic lymphocytic leukaemia or small lymphocytic lymphoma; small cell B-cell lymphoma
2A85.5,Mantle cell lymphoma,,Mantle cell lymphoma is a rare form of malignant non-Hodgkin lymphoma affecting B lymphocytes in the lymph nodes in a region called the ``mantle zone''. It accounts for 2-10% of lymphomas.,Small cell mantle cell lymphoma,
2A85.6,Burkitt lymphoma including Burkitt leukaemia,,"A highly aggressive lymphoma composed of monomorphic medium-sized B-cells with basophilic cytoplasm and numerous mitotic figures. It is often associated with the presence of Epstein-Barr virus (EBV) and is commonly seen in AIDS patients. Three morphologic variants are recognised: classical Burkitt lymphoma, Burkitt lymphoma with plasmacytoid differentiation, and atypical Burkitt/Burkitt-like lymphoma. All cases express the MYC translocation [t(8;14)].",“Burkitt-like” lymphoma,
2A86,"B-cell lymphoma, mixed features",,,,
2A86.0,"Malignant lymphoma of B cell type, not elsewhere classified",,,,
2A86.1,B-cell lymphoma unclassifiable with features intermediate between Burkitt lymphoma and diffuse large B-cell lymphoma,,,,
2A86.2,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,,,,
2A90,"Mature T-cell lymphoma, specified types, nodal or systemic",,,,
2A90.0,T-cell prolymphocytic leukaemia,,"An aggressive T-cell leukaemia, characterised by the proliferation of small to medium sized prolymphocytes with a mature T-cell phenotype, involving the blood, bone marrow, lymph nodes, liver, spleen, and skin.",,
2A90.1,T-cell large granular lymphocytic leukaemia,,"A T-cell peripheral neoplasm characterised by a persistent (>6 months) increase in the number of peripheral blood large granular lymphocytes, without a clearly identified cause.",,
