tm2_code,false_positive_count,code,title,num_index_terms,doc_length_words
SP5B,1,SP5B,Consumptive disorder (TM2),3,16
SR4L,1,SR4L,Increased secretion of breast milk pattern (TM2),2,16
SL81,1,SL81,Bleeding disorder disorder (TM2),2,15
SM99,1,SM99,Uterine polyps disorder (TM2),2,17
SN0Z,1,SN0Z,"Male Reproductive System disorders (TM2), unspecified",1,12
SR1S,1,SR1S,Blood thinning pattern (TM2),3,14
SR86,1,SR86,Faeces with undigested food residues pattern (TM2),2,16
SM3J,1,SM3J,Retching disorder (TM2),2,13
SL08,1,SL08,Lymphadenopathy in throat region disorder (TM2),5,26
SP91,1,SP91,Generalised oedema disorder (TM2),4,19
SR15,1,SR15,Vitiation of pitta pattern (TM2),2,12
SR17,1,SR17,Aggravation of pitta pattern (TM2),3,15
SN7Y,1,SN7Y,Other specified hair disorders (TM2),12,50
SM15,1,SM15,Halitosis disorder (TM2),4,20
SM13,1,SM13,Pyorrhoea disorder (TM2),3,12
SM1Y,1,SM1Y,Other specified oral cavity disorders (TM2),59,221
SL60,1,SL60,Slow heart disorder (TM2),2,13
SN07,1,SN07,Priapism disorder (TM2),4,15
SS53,1,SS53,Vata-Pitta constitution pattern (TM2),2,10
SN60,1,SN60,Brittle nails disorder (TM2),2,13
SR4J,1,SR4J,Increased menstrual flow pattern (TM2),2,12
SP92,1,SP92,Oedema disorder (TM2),3,14
SM83,1,SM83,Renal colic disorder (TM2),4,28
SM75,1,SM75,Dynamic intestinal obstruction disorder (TM2),2,19
SS2A,1,SS2A,Suppression of stool pattern (TM2),3,15
SQ2Y,1,SQ2Y,Other specified behavioural disorders (TM2),64,294
SR10,1,SR10,Vitiation of vāta pattern (TM2),2,12
SM42,1,SM42,Hepatomegaly disorder (TM2),2,15
SR8A,1,SR8A,Urine like colour of raw-meat washings pattern (TM2),2,19
SM86,1,SM86,Wound of the urinary bladder disorder (TM2),2,21
SS81,1,SS81,Pitta predominant age pattern (TM2),2,12
SM8B,1,SM8B,Urinary incontinence disorder (TM2),2,16
SK51,1,SK51,Cervicobrachial pain disorder (TM2),16,74
SK6S,1,SK6S,Periorbital polyp disorder (TM2),2,12
